dl.smv	dl.lola		dl.mcm	dl.clp			dl.smod			dl.cnmc					
needed	stat	time	needed	gen	solve	time	gen	solve	needed	gen	solve	sym	asym	dis	input
?	0	0.000	0.00	0.000	0.000	0.000	0.008	0.000	0.008	0.58	0.69	0.0	0.09	0.12	test/nets/other/buf100
?	0	0.000	0.10	0.000	0.000	0.000	0.004	0.000	0.004	0.1	0.0	0.0	0.0	0.0	test/nets/other/cyclic_12.fsa
0.000	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.09	0.0	0.0	0.0	0.0	test/nets/other/cyclic_3.fsa
7.420	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.09	0.0	0.0	0.0	0.0	test/nets/other/cyclic_6.fsa
?	0	0.000	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.09	0.0	0.0	0.0	0.0	test/nets/other/cyclic_9.fsa
?	0	0.000	na	0.000	0.000	0.000	na	na	0.004	0.1	0.0	na	na	na	test/nets/other/dac_12.fsa
?	0	0.000	na	0.000	0.000	0.000	na	na	0.004	0.08	0.0	na	na	na	test/nets/other/dac_15.fsa
0.080	0	0.000	na	0.000	0.000	0.000	na	na	0.004	0.08	0.0	na	na	na	test/nets/other/dac_6.fsa
2.200	0	0.000	na	0.000	0.000	0.000	na	na	0.004	0.08	0.0	na	na	na	test/nets/other/dac_9.fsa
?	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.1	0.01	0.0	0.0	0.0	test/nets/other/dp_10.fsa
?	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.12	0.0	0.0	0.01	0.01	test/nets/other/dp_12.fsa
1.180	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.1	0.0	0.0	0.0	0.0	test/nets/other/dp_6.fsa
?	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.17	0.0	0.0	0.01	0.0	test/nets/other/dp_8.fsa
0.280	0	0.010	0.00	0.000	0.000	0.000	0.004	0.004	0.008	0.19	0.01	0.0	0.0	0.01	test/nets/other/dpd_4.fsa
4.480	0	0.020	0.04	0.000	0.000	0.000	0.012	0.024	0.036	0.27	0.03	0.0	0.01	0.02	test/nets/other/dpd_5.fsa
?	0	0.060	0.40	0.000	0.000	0.010	0.020	0.148	0.168	0.46	0.08	0.01	0.02	0.04	test/nets/other/dpd_6.fsa
?	0	0.280	2.34	0.000	0.040	0.040	0.088	0.688	0.776	0.84	0.26	0.02	0.06	0.07	test/nets/other/dpd_7.fsa
?	error	error	0.02	0.000	0.000	0.020	0.016	0.000	0.016	0.21	0.01	0.0	0.0	0.01	test/nets/other/dpfm_11.fsa
0.000	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.11	0.0	0.0	0.0	0.0	test/nets/other/dpfm_2.fsa
0.040	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.12	0.0	0.0	0.0	0.0	test/nets/other/dpfm_5.fsa
?	0	0.010	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.09	0.0	0.0	0.0	0.0	test/nets/other/dpfm_8.fsa
0.540	0	0.090	0.00	0.000	0.000	0.000	0.004	0.004	0.008	0.11	0.01	0.0	0.0	0.01	test/nets/other/dph_4.fsa
24.080	0	0.920	0.26	0.000	0.000	0.010	0.016	0.020	0.036	0.3	0.04	0.01	0.01	0.02	test/nets/other/dph_5.fsa
?	0	1.720	12.80	0.000	0.060	0.080	0.280	0.556	0.836	1.0	0.3	0.01	0.04	0.08	test/nets/other/dph_6.fsa
?	0	12.170	?	0.000	0.760	0.820	4.009	14.652	18.661	3.68	3.22	0.07	0.31	0.44	test/nets/other/dph_7.dlmcs
?	0	12.860	?	0.000	0.820	0.880	4.017	14.632	18.649	3.72	3.55	0.08	0.31	0.43	test/nets/other/dph_7.fsa
?	error	error	0.16	0.000	0.040	0.080	0.044	0.000	0.044	3.45	2.85	0.08	0.62	0.62	test/nets/other/fifo20
8.140	0	0.000	0.00	0.000	0.000	0.000	0.000	0.004	0.004	0.1	0.0	0.0	0.0	0.01	test/nets/other/gas_nq_2.fsa
?	0	0.200	0.58	0.000	0.000	0.010	0.012	0.068	0.080	0.18	0.08	0.0	0.01	0.01	test/nets/other/gas_nq_3.fsa
?	error	error	53.48	0.000	0.300	0.310	0.300	2.028	2.328	0.97	1.86	0.02	0.07	0.11	test/nets/other/gas_nq_4.fsa
?	error	error	?	0.000	7.420	7.500	6.332	133.780	140.112	6.0	154.35	0.13	0.76	0.73	test/nets/other/gas_nq_5.fsa
0.080	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.09	0.0	0.0	0.0	0.0	test/nets/other/gas_q_1.fsa
6.060	0	0.010	0.00	0.000	0.000	0.000	0.000	0.004	0.004	0.11	0.01	0.0	0.0	0.01	test/nets/other/gas_q_2.fsa
?	error	error	0.32	0.000	0.000	0.010	0.012	0.068	0.080	0.23	0.09	0.0	0.01	0.02	test/nets/other/gas_q_3.fsa
?	error	error	66.06	0.000	0.320	0.360	0.388	2.380	2.768	1.19	5.31	0.03	0.07	0.14	test/nets/other/gas_q_4.fsa
?	0	0.000	0.00	0.000	0.000	0.000	0.004	0.012	0.016	0.13	0.01	0.0	0.0	0.01	test/nets/other/hartstone_100.fsa
?	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.1	0.0	0.0	0.0	0.0	test/nets/other/hartstone_25.fsa
?	0	0.000	0.00	0.000	0.000	0.000	0.008	0.000	0.008	0.11	0.0	0.0	0.01	0.0	test/nets/other/hartstone_50.fsa
?	0	0.000	0.00	0.000	0.000	0.000	0.008	0.004	0.012	0.12	0.0	0.0	0.0	0.01	test/nets/other/hartstone_75.fsa
0.020	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.1	0.0	0.0	0.0	0.0	test/nets/other/over_2.fsa
0.360	0	0.020	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.14	0.0	0.0	0.0	0.0	test/nets/other/over_3.fsa
8.580	0	0.810	0.02	0.000	0.000	0.000	0.008	0.000	0.008	0.2	0.0	0.0	0.01	0.01	test/nets/other/over_4.fsa
?	0	2.900	1.10	0.000	0.020	0.020	0.064	0.012	0.076	0.5	0.12	0.01	0.03	0.05	test/nets/other/over_5.fsa
0.420	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.12	0.0	0.0	0.0	0.0	test/nets/other/ring_3.fsa
?	0	0.010	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.14	0.0	0.0	0.0	0.0	test/nets/other/ring_5.fsa
?	0	0.060	0.00	0.000	0.000	0.000	0.004	0.012	0.016	0.16	0.02	0.0	0.01	0.01	test/nets/other/ring_7.fsa
?	0	0.920	0.02	0.000	0.000	0.000	0.012	0.056	0.068	0.21	0.0	0.0	0.01	0.02	test/nets/other/ring_9.fsa
2.540	0	0.020	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.11	0.0	0.0	0.0	0.0	test/nets/other/rrr10-1
?	0	0.690	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.12	0.0	0.0	0.01	0.0	test/nets/other/rrr20-1
?	0	2.770	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.12	0.0	0.0	0.0	0.0	test/nets/other/rrr30-1
?	error	error	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.11	0.0	0.0	0.0	0.0	test/nets/other/rrr50-1
7.200	0	0.650	?	0.000	0.240	0.330	10.120	0.008	10.128	4.54	0.5	0.07	0.05	0.41	test/nets/other/rw_12.fsa
0.020	0	0.010	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.13	0.0	0.0	0.0	0.01	test/nets/other/rw_6.fsa
0.480	0	0.050	1.20	0.000	0.000	0.010	0.180	0.000	0.180	0.48	0.0	0.01	0.0	0.03	test/nets/other/rw_9.fsa
0.000	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.09	0.0	0.0	0.0	0.0	test/nets/other/sem
?	0	0.410	42.04	0.000	0.400	0.440	0.464	0.228	0.692	1.1	0.0	0.03	0.06	0.15	test/nets/plain/large/bds_1.sync
?	killed	error	?	0.000	1.060	1.090	0.424	87.941	88.365	1.8	0.0	0.07	0.3	0.32	test/nets/plain/large/byzagr4_1b
?	0	8.580	87.48	0.000	0.260	0.280	0.420	5.924	6.344	1.14	3.26	0.04	0.1	0.18	test/nets/plain/large/dpd_7.sync
?	0	0.220	1.92	0.000	0.020	0.060	0.312	2.112	2.424	1.74	0.89	0.03	0.18	0.21	test/nets/plain/large/elevator_4
?	0	0.200	1.94	0.000	0.020	0.060	0.380	1.676	2.056	1.72	0.96	0.03	0.17	0.22	test/nets/plain/large/elevator_4.dlmcs.sync
?	0	0.190	1.94	0.000	0.020	0.060	0.308	2.168	2.476	1.76	0.87	0.03	0.19	0.22	test/nets/plain/large/elevator_4.fsa
?	error	error	28.60	0.000	0.840	0.880	0.496	14.932	15.428	1.61	4.22	0.05	0.11	0.24	test/nets/plain/large/elevator_4.old
?	killed	killed	?	0.000	0.660	0.800	5.076	57.415	62.491	11.45	0.0	0.24	1.77	1.24	test/nets/plain/large/ftp_1.fsa
?	killed	killed	?	0.000	4.800	4.970	8.929	299.046	307.975	11.23	0.0	0.32	1.96	1.34	test/nets/plain/large/ftp_1.sync
?	0	0.720	110.66	0.000	0.280	0.310	1.100	0.484	1.584	2.04	0.0	0.06	0.12	0.31	test/nets/plain/large/furnace_3
4.520	0	0.420	5.68	0.000	0.060	0.080	0.312	0.048	0.360	1.62	0.57	0.03	0.08	0.2	test/nets/plain/large/furnace_3.fsa
?	0	9.300	?	0.000	4.700	4.920	28.378	9.600	37.978	16.96	11.07	0.35	2.19	1.72	test/nets/plain/large/furnace_4
?	0	0.000	8.20	0.000	0.060	0.100	0.488	3.160	3.648	1.57	1.14	0.05	0.22	0.25	test/nets/plain/large/key_3.sync
?	0	0.000	?	0.000	0.200	0.300	11.025	61.143	72.168	8.07	5.48	0.19	1.0	0.89	test/nets/plain/large/key_4
?	0	0.010	?	0.000	0.200	0.310	11.033	73.136	84.169	7.99	4.91	0.2	1.07	0.88	test/nets/plain/large/key_4.fsa
?	0	0.010	?	0.000	0.020	0.070	2.056	37.550	39.606	5.46	2.3	0.1	0.82	0.67	test/nets/plain/large/mmgt_4.fsa
?	0	0.010	4.30	0.000	0.020	0.020	0.256	0.492	0.748	1.19	1.35	0.04	0.14	0.19	test/nets/plain/large/q_1.sync
?	error	error	?	0.000	0.340	0.400	8.340	0.008	8.348	4.46	0.0	0.1	0.04	0.47	test/nets/plain/large/rw_12
?	error	error	?	0.000	2.080	2.200	31.029	0.032	31.061	10.82	0.0	0.22	0.1	0.93	test/nets/plain/large/rw_12.sync
?	0	0.360	200.28	0.000	0.180	0.190	0.472	1.072	1.544	1.23	0.0	0.04	0.12	0.22	test/nets/plain/large/rw_1w3r
?	0	0.400	200.02	0.000	0.180	0.190	0.476	1.040	1.516	1.21	0.0	0.03	0.12	0.22	test/nets/plain/large/rw_1w3r.sync
50.580	0	2.040	2.30	0.000	0.020	0.020	0.072	0.036	0.108	0.71	0.28	0.02	0.04	0.07	test/nets/plain/med/bds_1.fsa
17.980	0	0.020	7.36	0.000	0.000	0.000	0.012	0.008	0.020	0.2	0.09	0.0	0.01	0.03	test/nets/plain/med/bruijn_2
?	0	0.030	7.10	0.000	0.000	0.000	0.012	0.012	0.024	0.2	0.1	0.0	0.02	0.03	test/nets/plain/med/bruijn_2.sync
?	error	error	26.70	0.000	0.380	0.390	0.184	18.857	19.041	1.02	2.94	0.03	0.14	0.16	test/nets/plain/med/dme10
?	error	error	63.40	0.000	0.900	0.910	0.296	35.162	35.458	1.22	0.0	0.05	0.12	0.21	test/nets/plain/med/dme11
?	0	4.710	0.10	0.000	0.000	0.000	0.008	0.228	0.236	0.22	0.0	0.01	0.01	0.02	test/nets/plain/med/dme5
?	0	49.130	0.34	0.000	0.000	0.010	0.016	0.648	0.664	0.31	0.35	0.0	0.03	0.04	test/nets/plain/med/dme6
?	error	error	1.12	0.000	0.020	0.030	0.040	1.604	1.644	0.4	0.87	0.01	0.04	0.06	test/nets/plain/med/dme7
?	error	error	3.32	0.000	0.060	0.070	0.060	4.020	4.080	0.58	1.24	0.02	0.07	0.1	test/nets/plain/med/dme8
?	error	error	9.44	0.000	0.160	0.170	0.116	9.404	9.520	0.77	2.11	0.02	0.08	0.14	test/nets/plain/med/dme9
?	0	0.040	0.08	0.000	0.000	0.000	0.024	0.112	0.136	0.47	0.16	0.02	0.02	0.06	test/nets/plain/med/elevator_3
?	0	0.040	0.08	0.000	0.000	0.000	0.024	0.120	0.144	0.44	0.0	0.01	0.03	0.05	test/nets/plain/med/elevator_3.dlmcs.sync
?	0	0.040	0.08	0.000	0.000	0.000	0.024	0.112	0.136	0.45	0.0	0.01	0.03	0.05	test/nets/plain/med/elevator_3.fsa
0.400	0	0.040	0.12	0.000	0.000	0.000	0.016	0.004	0.020	0.3	0.04	0.0	0.02	0.02	test/nets/plain/med/furnace_2.fsa
?	0	0.000	0.42	0.000	0.000	0.010	0.128	0.556	0.684	0.79	0.48	0.02	0.05	0.1	test/nets/plain/med/key_3
?	0	0.000	0.36	0.000	0.000	0.000	0.124	0.572	0.696	0.77	0.41	0.01	0.05	0.1	test/nets/plain/med/key_3.fsa
2.640	0	0.020	2.32	0.000	0.000	0.000	0.008	0.008	0.016	0.17	0.0	0.0	0.01	0.02	test/nets/plain/med/knuth_2
33.160	0	0.040	3.08	0.000	0.000	0.000	0.004	0.012	0.016	0.17	0.06	0.01	0.01	0.01	test/nets/plain/med/knuth_2.sync
7.880	0	0.010	11.88	0.000	0.000	0.000	0.048	0.284	0.332	0.64	0.18	0.02	0.05	0.08	test/nets/plain/med/mmgt_3.fsa
?	0	0.010	1.90	0.000	0.000	0.000	0.144	0.284	0.428	0.85	0.0	0.03	0.1	0.13	test/nets/plain/med/q_1
?	0	0.010	0.60	0.000	0.000	0.010	0.080	0.004	0.084	1.0	0.77	0.02	0.1	0.15	test/nets/plain/med/q_1.fsa
?	0	0.020	0.64	0.000	0.000	0.000	0.008	0.028	0.036	0.24	0.18	0.0	0.02	0.03	test/nets/plain/med/rw_1w2r
?	0	4.740	34.04	0.000	0.060	0.060	0.132	2.000	2.132	0.85	0.0	0.03	0.1	0.16	test/nets/plain/med/rw_2w1r
?	0	7.120	34.08	0.000	0.060	0.070	0.132	1.756	1.888	0.84	2.46	0.02	0.1	0.15	test/nets/plain/med/rw_2w1r.sync
2.440	0	0.000	0.10	0.000	0.000	0.000	0.020	0.188	0.208	0.33	0.08	0.0	0.02	0.02	test/nets/plain/med/speed_1.fsa
0.500	0	0.000	0.34	0.000	0.000	0.000	0.000	0.004	0.004	0.13	0.02	0.0	0.0	0.01	test/nets/plain/small/ab_gesc
0.060	0	0.010	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.1	0.0	0.0	0.0	0.0	test/nets/plain/small/abp_1.fsa
?	error	error	?	0.000	0.000	0.000	0.004	0.008	0.012	0.15	0.0	0.0	0.01	0.01	test/nets/plain/small/byzagr4_0b
?	error	error	?	0.000	0.000	0.000	0.004	0.008	0.012	0.15	0.04	0.0	0.01	0.01	test/nets/plain/small/byzagr4_0b.sync
?	0	0.020	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.1	0.0	0.0	0.01	0.0	test/nets/plain/small/byzagr4_2a
?	0	0.010	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.1	0.0	0.0	0.0	0.0	test/nets/plain/small/byzagr4_2a.sync
?	killed	killed	0.26	0.000	0.000	0.000	0.004	0.012	0.016	0.16	0.0	0.01	0.0	0.01	test/nets/plain/small/cottbus_plate_5
?	killed	killed	0.48	0.000	0.000	0.000	0.008	0.012	0.020	0.17	0.0	0.0	0.01	0.02	test/nets/plain/small/cottbus_plate_5.sync
0.820	0	0.010	1.30	0.000	0.000	0.000	0.008	0.012	0.020	0.14	0.04	0.0	0.01	0.01	test/nets/plain/small/dijkstra_2
3.760	0	0.010	2.08	0.000	0.000	0.000	0.004	0.020	0.024	0.15	0.0	0.01	0.0	0.01	test/nets/plain/small/dijkstra_2.sync
?	0	0.000	0.00	0.000	0.000	0.000	0.000	0.004	0.004	0.1	0.0	0.0	0.01	0.0	test/nets/plain/small/dme2
?	0	0.040	0.00	0.000	0.000	0.000	0.004	0.016	0.020	0.13	0.0	0.0	0.0	0.01	test/nets/plain/small/dme3
?	0	0.400	0.02	0.000	0.000	0.000	0.008	0.064	0.072	0.18	0.0	0.01	0.0	0.02	test/nets/plain/small/dme4
0.000	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.09	0.0	0.0	0.0	0.0	test/nets/plain/small/do_od
9.120	0	0.040	0.00	0.000	0.000	0.000	0.004	0.004	0.008	0.13	0.0	0.01	0.0	0.01	test/nets/plain/small/eisenbahn
13.800	0	0.110	0.02	0.000	0.000	0.000	0.012	0.000	0.012	0.15	0.02	0.0	0.01	0.0	test/nets/plain/small/eisenbahn.sync
0.620	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.11	0.01	0.0	0.0	0.01	test/nets/plain/small/elevator
0.160	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.1	0.0	0.0	0.0	0.0	test/nets/plain/small/elevator_1
0.160	0	0.000	0.00	0.000	0.000	0.000	0.004	0.000	0.004	0.1	0.0	0.0	0.0	0.0	test/nets/plain/small/elevator_1.fsa
14.200	0	0.010	0.00	0.000	0.000	0.000	0.008	0.004	0.012	0.16	0.0	0.0	0.01	0.0	test/nets/plain/small/elevator_2
